"unidade";"natureza da despesa";"valor"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO - FPG";"DIÁRIAS";"R$         6.069,29"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO - FPG";"INDENIZAÇÕES E RESTITUIÇÕE";"R$         7.906,03"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO - FPG";"PASSAGENS";"R$         5.181,18"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO - FPG";"SERV. PESSOA FÍSICA";"R$           591,20"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO - FPG";"SERV. PESSOA JURÍDICA";"R$         2.319,46"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA SANITÁRIA - FPG";"CUSTEIO";"R$        23.121,45"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA SANITÁRIA - FPG";"DIÁRIAS";"R$            67,68"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE ARTES - FPG";"CUSTEIO";"R$        14.881,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE ARTES - FPG";"EQUIP. MATERIAL PERMANENTE";"R$         5.119,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS E MATEMÁTICA - FPG";"CUSTEIO";"R$        28.369,95"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$           371,96"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA - FPG";"CUSTEIO";"R$        12.301,25"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA - FPG";"DIÁRIAS";"R$             0,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA - FPG";"MAT. CONSUMO";"R$            44,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA - FPG";"PASSAGENS";"R$         1.946,10"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA - FPG";"SERV. PESSOA FÍSICA";"R$           300,90"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA - FPG";"SERV. PESSOA JURÍDICA";"R$         2.595,27"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE FÍSICA/REDE NACIONAL - FPG";"CUSTEIO";"R$        10.000,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO NA SAÚDE - FPG";"CUSTEIO";"R$         8.000,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO NA SAÚDE - FPG";"DIÁRIAS";"R$         5.251,51"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA LINGUAGEM - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$           600,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA LINGUAGEM - FPG";"CUSTEIO";"R$       219.962,20"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA LINGUAGEM - FPG";"DIÁRIAS";"R$         2.142,70"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA LINGUAGEM - FPG";"INDENIZAÇÕES E RESTITUIÇÕE";"R$           600,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA LINGUAGEM - FPG";"PASSAGENS";"R$         6.564,88"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA LINGUAGEM - FPG";"SERV. PESSOA FÍSICA";"R$         4.471,20"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA LINGUAGEM - FPG";"SERV. PESSOA JURÍDICA";"R$         6.784,76"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA MÍDIA - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$           693,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA MÍDIA - FPG";"CUSTEIO";"R$        49.249,75"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA MÍDIA - FPG";"DIÁRIAS";"R$         1.914,97"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA MÍDIA - FPG";"INDENIZAÇÕES E RESTITUIÇÕE";"R$           663,55"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA MÍDIA - FPG";"PASSAGENS";"R$           975,85"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA MÍDIA - FPG";"SERV. PESSOA JURÍDICA";"R$             0,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS URBANOS E REGIONAIS - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$           750,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS URBANOS E REGIONAIS - FPG";"CUSTEIO";"R$        55.976,88"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS URBANOS E REGIONAIS - FPG";"DIÁRIAS";"R$           433,74"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS URBANOS E REGIONAIS - FPG";"INDENIZAÇÕES E RESTITUIÇÕE";"R$         1.671,63"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS URBANOS E REGIONAIS - FPG";"PASSAGENS";"R$         1.312,03"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS URBANOS E REGIONAIS - FPG";"SERV. PESSOA FÍSICA";"R$           601,80"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS URBANOS E REGIONAIS - FPG";"SERV. PESSOA JURÍDICA";"R$             0,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$         3.652,51"
"PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA - FPG";"CUSTEIO";"R$       169.035,51"
"PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA - FPG";"DIÁRIAS";"R$         1.998,40"
"PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA - FPG";"PASSAGENS";"R$         5.813,08"
"PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA - FPG";"SERV. PESSOA JURÍDICA";"R$        15.896,19"
"PROGRAMA DE PÓS-GRADUAÇÃO EM FÍSICA - FPG";"CUSTEIO";"R$        45.296,60"
"PROGRAMA DE PÓS-GRADUAÇÃO EM FÍSICA - FPG";"SERV. PESSOA JURÍDICA";"R$        14.657,40"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEODINÂMICA E GEOFÍSICA - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$         1.360,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEODINÂMICA E GEOFÍSICA - FPG";"CUSTEIO";"R$        36.977,56"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEODINÂMICA E GEOFÍSICA - FPG";"DIÁRIAS";"R$         1.395,78"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEODINÂMICA E GEOFÍSICA - FPG";"PASSAGENS";"R$         1.224,18"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEODINÂMICA E GEOFÍSICA - FPG";"SERV. PESSOA JURÍDICA";"R$           948,15"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - FPG";"CUSTEIO";"R$        52.156,19"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - FPG";"DIÁRIAS";"R$         1.240,08"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - FPG";"PASSAGENS";"R$         5.851,18"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - FPG";"SERV. PESSOA JURÍDICA";"R$         3.604,24"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - GEOPROF - (CERES/CCHLA) - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$         2.275,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - GEOPROF - (CERES/CCHLA) - FPG";"CUSTEIO";"R$        18.465,75"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - GEOPROF - (CERES/CCHLA) - FPG";"DIÁRIAS";"R$         1.748,04"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO - FPG";"CUSTEIO";"R$         8.000,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO DA QUALIDADE EM SERVIÇOS DE SAÚDE - FPG";"CUSTEIO";"R$        24.507,34"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO DA QUALIDADE EM SERVIÇOS DE SAÚDE - FPG";"DIÁRIAS";"R$         1.881,26"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO DA QUALIDADE EM SERVIÇOS DE SAÚDE - FPG";"PASSAGENS";"R$        10.922,16"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO DA QUALIDADE EM SERVIÇOS DE SAÚDE - FPG";"SERV. PESSOA JURÍDICA";"R$         1.401,15"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO DE PROCESSOS INSTITUCIONAIS - UFRN";"CUSTEIO";"R$       100.000,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA - FPG";"CUSTEIO";"R$        14.000,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA - FPG";"CUSTEIO";"R$        33.386,22"
"PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA - FPG";"PASSAGENS";"R$         5.208,40"
"PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA - FPG";"SERV. PESSOA JURÍDICA";"R$           200,24"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA APLICADA E ESTATÍSTICA - FPG";"CUSTEIO";"R$        48.658,15"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA APLICADA E ESTATÍSTICA - FPG";"DIÁRIAS";"R$        11.300,55"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA APLICADA E ESTATÍSTICA - FPG";"PASSAGENS";"R$         2.233,02"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA APLICADA E ESTATÍSTICA - FPG";"SERV. PESSOA FÍSICA";"R$         1.298,60"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA APLICADA E ESTATÍSTICA - FPG";"SERV. PESSOA JURÍDICA";"R$           166,08"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA EM REDE NACIONAL - FPG";"CUSTEIO";"R$         5.000,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA EM REDE NACIONAL - FPG";"DIÁRIAS";"R$           259,26"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA";"CUSTEIO";"R$        33.032,75"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA";"DIÁRIAS";"R$           918,25"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA";"PASSAGENS";"R$         5.198,63"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA";"SERV. PESSOA JURÍDICA";"R$         2.748,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$         7.367,50"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA - FPG";"CUSTEIO";"R$       135.825,18"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA - FPG";"DIÁRIAS";"R$           267,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA - FPG";"DIV.EXERCÍCIOS ANTERIORES";"R$         1.890,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA - FPG";"SERV. PESSOA FÍSICA";"R$           501,50"
"PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA - FPG";"SERV. PESSOA JURÍDICA";"R$        91.523,10"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIAS";"AUX. FINANCEIRO ESTUDANTE";"R$           500,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIAS";"CUSTEIO";"R$         4.942,48"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIAS";"DIÁRIAS";"R$         1.123,69"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIAS";"EQUIP. MATERIAL PERMANENTE";"R$         2.570,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIAS";"MAT. CONSUMO";"R$         2.906,90"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIAS";"PASSAGENS";"R$           894,15"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIAS";"SERV. PESSOA JURÍDICA";"R$         8.156,11"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIAS - FPG";"CUSTEIO";"R$        32.369,19"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIAS - FPG";"DIÁRIAS";"R$             0,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIAS - FPG";"MAT. CONSUMO";"R$           720,88"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIAS - FPG";"SERV. PESSOA JURÍDICA";"R$         4.985,50"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NUTRIÇÃO - FPG";"CUSTEIO";"R$        25.033,02"
"PROGRAMA DE PÓS-GRADUAÇÃO EM NUTRIÇÃO - FPG";"DIÁRIAS";"R$           539,34"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PATOLOGIA ORAL - FPG";"CUSTEIO";"R$        51.838,20"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PATOLOGIA ORAL - FPG";"DIÁRIAS";"R$           893,60"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PATOLOGIA ORAL - FPG";"MAT. CONSUMO";"R$         6.118,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PATOLOGIA ORAL - FPG";"PASSAGENS";"R$         2.549,40"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUÇÃO ANIMAL";"AUX. FINANCEIRO ESTUDANTE";"R$         1.920,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUÇÃO ANIMAL";"CUSTEIO";"R$        15.780,18"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUÇÃO ANIMAL";"DIÁRIAS";"R$           267,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUÇÃO ANIMAL";"MAT. CONSUMO";"R$         1.924,36"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUÇÃO ANIMAL";"PASSAGENS";"R$         1.098,15"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUÇÃO ANIMAL";"SERV. PESSOA FÍSICA";"R$           450,65"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUÇÃO ANIMAL";"SERV. PESSOA JURÍDICA";"R$         3.200,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUÇÃO ANIMAL - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$           600,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUÇÃO ANIMAL - FPG";"CUSTEIO";"R$        20.426,10"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUÇÃO ANIMAL - FPG";"DIÁRIAS";"R$           475,04"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUÇÃO ANIMAL - FPG";"INDENIZAÇÕES E RESTITUIÇÕE";"R$         1.124,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOBIOLOGIA - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$        18.018,98"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOBIOLOGIA - FPG";"CUSTEIO";"R$       109.143,82"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOBIOLOGIA - FPG";"DIÁRIAS";"R$         7.643,27"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOBIOLOGIA - FPG";"EQUIP. MATERIAL PERMANENTE";"R$         1.568,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOBIOLOGIA - FPG";"MAT. CONSUMO";"R$        20.628,71"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOBIOLOGIA - FPG";"PASSAGENS";"R$         7.056,18"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOBIOLOGIA - FPG";"SERV. PESSOA FÍSICA";"R$         8.395,60"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOBIOLOGIA - FPG";"SERV. PESSOA JURÍDICA";"R$         8.768,78"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA - FPG";"CUSTEIO";"R$        92.841,21"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA - FPG";"DIÁRIAS";"R$         1.168,38"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA - FPG";"PASSAGENS";"R$        16.458,72"
"PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA - FPG";"SERV. PESSOA JURÍDICA";"R$         7.821,50"
"PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$        11.300,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA - FPG";"CUSTEIO";"R$       146.160,45"
"PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA - FPG";"DIÁRIAS";"R$         5.036,52"
"PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA - FPG";"EQUIP. MATERIAL PERMANENTE";"R$         5.926,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA - FPG";"INDENIZAÇÕES E RESTITUIÇÕE";"R$         3.186,83"
"PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA - FPG";"MAT. CONSUMO";"R$         1.200,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA - FPG";"PASSAGENS";"R$        19.508,86"
"PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA - FPG";"SERV. PESSOA FÍSICA";"R$         1.203,60"
"PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA - FPG";"SERV. PESSOA JURÍDICA";"R$        33.587,77"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA/FACISA";"CUSTEIO";"R$        10.000,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA/FACISA - FPG";"CUSTEIO";"R$        10.800,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA/FACISA - FPG";"DIÁRIAS";"R$           597,90"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA - FPG";"CUSTEIO";"R$        93.064,61"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA - FPG";"DIÁRIAS";"R$         3.064,60"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA - FPG";"INDENIZAÇÕES E RESTITUIÇÕE";"R$         1.101,74"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA - FPG";"MAT. CONSUMO";"R$         2.285,61"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA - FPG";"PASSAGENS";"R$         5.785,88"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA - FPG";"SERV. PESSOA FÍSICA";"R$         3.199,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA - FPG";"SERV. PESSOA JURÍDICA";"R$         1.641,42"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SERVIÇO SOCIAL - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$             0,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SERVIÇO SOCIAL - FPG";"CUSTEIO";"R$        31.302,51"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SERVIÇO SOCIAL - FPG";"DIÁRIAS";"R$           613,52"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$         6.296,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG";"CUSTEIO";"R$        63.598,33"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG";"DIÁRIAS";"R$         3.213,61"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG";"INDENIZAÇÕES E RESTITUIÇÕE";"R$        14.084,78"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMAS E COMPUTAÇÃO - FPG";"SERV. PESSOA JURÍDICA";"R$           869,46"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMÁTICA E EVOLUÇÃO - FPG";"AUX. FINANCEIRO ESTUDANTE";"R$         2.791,28"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMÁTICA E EVOLUÇÃO - FPG";"CUSTEIO";"R$        19.833,75"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMÁTICA E EVOLUÇÃO - FPG";"DIÁRIAS";"R$             0,00"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMÁTICA E EVOLUÇÃO - FPG";"MAT. CONSUMO";"R$           128,83"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMÁTICA E EVOLUÇÃO - FPG";"PASSAGENS";"R$         1.690,13"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMÁTICA E EVOLUÇÃO - FPG";"SERV. PESSOA FÍSICA";"R$         1.298,60"
"PROGRAMA DE PÓS-GRADUAÇÃO EM SISTEMÁTICA E EVOLUÇÃO - FPG";"SERV. PESSOA JURÍDICA";"R$           928,18"
"PROGRAMA DE PÓS-GRADUAÇÃO EM TURISMO - FPG";"CUSTEIO";"R$        46.023,29"
"PROGRAMA DE PÓS-GRADUAÇÃO EM TURISMO - FPG";"PASSAGENS";"R$           821,44"
"PROGRAMA DE PÓS-GRADUAÇÃO EM TURISMO - FPG";"SERV. PESSOA JURÍDICA";"R$           155,27"
"PROGRAMA INCLUIR";"CUSTEIO";"R$       426.732,00"
"PROGRAMA INCLUIR";"DIÁRIAS";"R$         2.619,60"
"PROGRAMA INCLUIR";"EQUIP. MATERIAL PERMANENTE";"R$        90.000,00"
"PROGRAMA INCLUIR";"OBRAS E INSTALAÇÕES";"R$        90.000,00"
"PROGRAMA INCLUIR";"PASSAGENS";"R$         7.842,50"
"PROGRAMA INCLUIR";"SERV. PESSOA FÍSICA";"R$        46.000,00"
"PROGRAMA INCLUIR";"SERV. PESSOA JURÍDICA";"R$        20.000,00"
"PROGRAMA MAIS EDUCAÇÃO";"AUX. FINANCEIRO ESTUDANTE";"R$        39.210,00"
"PROGRAMA MAIS EDUCAÇÃO";"CUSTEIO";"R$       466.787,44"
"PROGRAMA MAIS EDUCAÇÃO";"DIÁRIAS";"R$         5.596,81"
"PROGRAMA MAIS EDUCAÇÃO";"MAT. CONSUMO";"R$         2.114,31"
"PROGRAMA MAIS EDUCAÇÃO";"OBRIGAÇÕES PATRONAIS";"R$           838,40"
"PROGRAMA MAIS EDUCAÇÃO";"PASSAGENS";"R$        12.120,94"
"PROGRAMA MAIS EDUCAÇÃO";"SERV. PESSOA FÍSICA";"R$        11.414,20"
"PROGRAMA MAIS EDUCAÇÃO";"SERV. PESSOA JURÍDICA";"R$        95.968,72"
"PROGRAMA MAIS MÉDICOS";"CAPITAL";"R$    18.118.847,00"
"PROGRAMA MAIS MÉDICOS";"EQUIP. MATERIAL PERMANENTE";"R$       346.106,10"
"PROGRAMA MAIS MÉDICOS";"OBRAS E INSTALAÇÕES";"R$    10.268.703,86"
"PROGRAMA MAIS MÉDICOS - FOMENTO ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO";"CAPITAL";"R$       150.000,00"
"PROGRAMA MAIS MÉDICOS - FOMENTO ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO";"CUSTEIO";"R$        90.000,00"
"PROGRAMA MAIS MÉDICOS - FOMENTO ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO";"MAT. CONSUMO";"R$           299,23"
"PROGRAMA MAIS MÉDICOS - FOMENTO ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO";"SERV. PESSOA JURÍDICA";"R$        45.000,00"
"PROGRAMA: PARNASSE SOCIAL - A JUVENTUDE BRASILEIRA NO COMBATE A NOSSA POBREZA";"AUX. FINANCEIRO ESTUDANTE";"R$         1.990,00"
"PROGRAMA: PARNASSE SOCIAL - A JUVENTUDE BRASILEIRA NO COMBATE A NOSSA POBREZA";"CAPITAL";"R$        25.275,00"
"PROGRAMA: PARNASSE SOCIAL - A JUVENTUDE BRASILEIRA NO COMBATE A NOSSA POBREZA";"CUSTEIO";"R$        38.222,90"
"PROGRAMA: PARNASSE SOCIAL - A JUVENTUDE BRASILEIRA NO COMBATE A NOSSA POBREZA";"DIÁRIAS";"R$         7.950,96"
"PROGRAMA: PARNASSE SOCIAL - A JUVENTUDE BRASILEIRA NO COMBATE A NOSSA POBREZA";"EQUIP. MATERIAL PERMANENTE";"R$        12.760,01"
"PROGRAMA: PARNASSE SOCIAL - A JUVENTUDE BRASILEIRA NO COMBATE A NOSSA POBREZA";"MAT. CONSUMO";"R$        20.801,30"
"PROGRAMA: PARNASSE SOCIAL - A JUVENTUDE BRASILEIRA NO COMBATE A NOSSA POBREZA";"PASSAGENS";"R$        10.462,57"
"PROGRAMA: PARNASSE SOCIAL - A JUVENTUDE BRASILEIRA NO COMBATE A NOSSA POBREZA";"SERV. PESSOA JURÍDICA";"R$        10.131,70"
"PROGRAMA QUALIDADE DE VIDA";"AUX. FINANCEIRO ESTUDANTE";"R$         2.035,00"
"PROGRAMA QUALIDADE DE VIDA";"CUSTEIO";"R$       682.661,79"
"PROGRAMA QUALIDADE DE VIDA";"DIÁRIAS";"R$         6.922,13"
"PROGRAMA QUALIDADE DE VIDA";"EQUIP. MATERIAL PERMANENTE";"R$         4.508,09"
"PROGRAMA QUALIDADE DE VIDA";"LOC. MÃO-DE-OBRA";"R$             0,00"
"PROGRAMA QUALIDADE DE VIDA";"MAT. CONSUMO";"R$        50.614,28"
"PROGRAMA QUALIDADE DE VIDA";"OBRIGAÇÕES PATRONAIS";"R$         2.587,97"
"PROGRAMA QUALIDADE DE VIDA";"PASSAGENS";"R$        11.032,20"
"PROGRAMA QUALIDADE DE VIDA";"SERV. PESSOA FÍSICA";"R$        20.859,87"
"PROGRAMA QUALIDADE DE VIDA";"SERV. PESSOA JURÍDICA";"R$       236.978,68"
